"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2020","3.00","2.97","3.05","2.93","842.70K","1.01%"
"Feb 12, 2020","2.97","2.97","3.00","2.96","1.25","0.34%"
"Feb 11, 2020","2.96","2.94","3.00","2.90","3.72","-0.67%"
"Feb 10, 2020","2.98","3.06","3.06","2.98","2.29","-2.61%"
"Feb 09, 2020","3.06","3.05","3.10","3.05","842.90K","-0.33%"
"Feb 06, 2020","3.07","3.10","3.10","3.07","660.80K","-0.97%"
"Feb 05, 2020","3.10","3.06","3.10","3.05","516.70K","1.31%"
"Feb 04, 2020","3.06","3.11","3.15","3.06","1.44","-1.92%"
"Feb 03, 2020","3.12","3.12","3.13","3.12","414.10K","0.00%"
"Feb 02, 2020","3.12","3.14","3.14","3.10","9.70K","-0.64%"
"Jan 30, 2020","3.14","3.17","3.19","3.14","1.86","0.32%"
"Jan 29, 2020","3.13","3.01","3.20","3.01","7.36","0.00%"
"Jan 28, 2020","3.13","3.13","3.13","3.13","134.90K","0.32%"
"Jan 27, 2020","3.12","3.15","3.17","3.12","724.40K","-0.95%"
"Jan 26, 2020","3.15","3.14","3.15","3.13","845.00K","0.32%"
"Jan 23, 2020","3.14","3.14","3.14","3.14","32.00K","-0.32%"
"Jan 22, 2020","3.15","3.15","3.15","3.12","2.34","0.00%"
"Jan 21, 2020","3.15","3.14","3.17","3.12","2.46","0.96%"
"Jan 20, 2020","3.12","3.12","3.15","3.12","788.00K","0.00%"
"Jan 19, 2020","3.12","3.11","3.15","3.11","979.10K","-0.64%"
"Jan 16, 2020","3.14","3.11","3.15","3.11","2.19","1.29%"
"Jan 15, 2020","3.10","3.05","3.10","3.04","5.57","1.64%"
"Jan 14, 2020","3.05","3.00","3.07","2.98","1.92","1.67%"
"Jan 13, 2020","3.00","3.05","3.06","2.99","1.88","-1.32%"
"Jan 12, 2020","3.04","2.97","3.07","2.97","1.46","1.67%"
"Jan 09, 2020","2.99","2.95","3.07","2.95","5.97","2.05%"
"Jan 08, 2020","2.93","2.94","2.95","2.91","1.08","-1.68%"
"Jan 07, 2020","2.98","2.95","2.98","2.93","825.10K","2.05%"
"Jan 06, 2020","2.92","3.00","3.00","2.91","903.10K","-0.68%"
"Jan 05, 2020","2.94","2.95","2.98","2.92","545.20K","-2.00%"
"Jan 02, 2020","3.00","2.95","3.00","2.95","243.70K","1.35%"
"Dec 31, 2019","2.96","3.05","3.07","2.96","20.04","-2.95%"
